City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,-13.09,85,0,5.14,SJ,1706995091
1,haiku-pauwela,20.9219,-156.3051,22.36,60,75,8.23,US,1706995092
2,olonkinbyen,70.9221,-8.7187,-5.26,65,100,8.12,SJ,1706995093
3,erbil,36.1926,44.0106,7.1,57,35,2.31,IQ,1706995093
4,tindouf,27.6711,-8.1474,16.25,10,0,4.12,DZ,1706995094
5,talnakh,69.4865,88.3972,-14.33,96,100,3.68,RU,1706994935
6,abbeville,50.1,1.8333,10.83,89,100,6.3,FR,1706995096
7,jawf al maqbabah,13.8378,45.8349,19.79,79,6,0.63,YE,1706995096
8,grytviken,-54.2811,-36.5092,9.03,95,100,5.87,GS,1706995097
9,port mathurin,-19.6833,63.4167,26.53,68,18,6.64,MU,1706995098
10,ushuaia,-54.8,-68.3,11.81,58,40,5.66,AR,1706995099
11,waitangi,-43.9535,-176.5597,17.68,73,36,1.79,NZ,1706995099
12,oranjemund,-28.55,16.4333,20.24,90,36,1.92,NA,1706995100
13,bethel,41.3712,-73.414,4.73,55,0,5.14,US,1706995101
14,fale old settlement,-9.3852,-171.2468,28.82,79,100,8.56,TK,1706995102
15,kruisfontein,-34.0033,24.7314,21.05,91,100,2.33,ZA,1706995103
16,inhambane,-23.865,35.3833,24.27,80,42,1.66,MZ,1706995103
17,tottori,35.5,134.2333,4.57,90,100,1.66,JP,1706994829
18,ongwediva,-17.7833,15.7667,21.98,70,100,8.95,NA,1706995105
19,lompoc,34.6391,-120.4579,15.43,66,100,0.89,US,1706995105
20,carnarvon,-24.8667,113.6333,22.95,79,0,11.66,AU,1706995106
21,kill devil hills,36.0307,-75.676,6.66,69,40,6.69,US,1706995107
22,port-aux-francais,-49.35,70.2167,7.7,77,95,5.48,TF,1706995108
23,mtskheta,41.8451,44.7188,3.05,82,67,2.32,GE,1706995108
24,sanya,18.2431,109.505,24.09,78,75,2.0,CN,1706995109
25,balnearia,-31.0088,-62.6673,41.44,17,0,3.96,AR,1706995110
26,vadso,70.0744,29.7487,-2.91,86,75,8.75,NO,1706995111
27,tolanaro,-25.0319,46.9987,23.68,84,54,6.5,MG,1706995111
28,sandy,40.572,-111.8606,6.63,65,100,6.17,US,1706995006
29,tiksi,71.6872,128.8694,-35.91,100,100,2.3,RU,1706995113
30,puerto natales,-51.7236,-72.4875,14.25,41,0,7.2,CL,1706994992
31,cidreira,-30.1811,-50.2056,25.09,80,2,6.73,BR,1706995114
32,ulluaya,42.3738,47.3745,-5.65,84,71,0.81,RU,1706995115
33,anadyr,64.75,177.4833,-21.67,69,0,2.68,RU,1706995116
34,port lincoln,-34.7333,135.8667,20.29,67,0,3.3,AU,1706995117
35,geraldton,-28.7667,114.6,21.23,73,100,10.8,AU,1706995117
36,mejit,10.2753,170.8646,26.65,77,51,9.27,MH,1706995118
37,cabo san lucas,22.8909,-109.9124,25.34,53,0,6.17,MX,1706994876
38,milanowek,52.1188,20.6716,8.84,77,60,1.34,PL,1706995120
39,porto novo,6.4965,2.6036,26.03,61,34,2.12,BJ,1706994958
40,adamstown,-25.066,-130.1015,25.07,72,99,1.7,PN,1706995121
41,holualoa,19.6228,-155.9522,24.2,73,40,13.89,US,1706995122
42,blackmans bay,-43.0167,147.3167,14.85,93,100,2.4,AU,1706995122
43,stanley,54.868,-1.6985,6.4,80,20,8.23,GB,1706995095
44,utrik,11.2278,169.8474,26.41,77,94,8.95,MH,1706995124
45,bilibino,68.0546,166.4372,-29.47,85,10,3.21,RU,1706995125
46,yellowknife,62.456,-114.3525,-18.66,82,20,7.2,CA,1706995125
47,los llanos de aridane,28.6585,-17.9182,18.86,30,0,3.58,ES,1706995126
48,afaahiti,-17.75,-149.2833,28.93,76,50,3.03,PF,1706995127
49,albany,42.6001,-73.9662,2.83,60,59,0.45,US,1706994904
50,edinburgh of the seven seas,-37.0676,-12.3116,16.21,74,22,9.68,SH,1706995128
51,aberdeen,57.1437,-2.0981,6.97,75,100,2.57,GB,1706994831
52,zhangye,38.9342,100.4517,-7.94,69,5,1.17,CN,1706995130
53,tukzar,35.9483,66.4213,-2.67,92,97,0.43,AF,1706995130
54,happy valley-goose bay,53.3168,-60.3315,-19.83,65,0,2.06,CA,1706995131
55,island harbour,50.724,-1.2758,11.28,92,80,4.02,GB,1706995132
56,sao jose da coroa grande,-8.8978,-35.1478,27.15,76,30,3.6,BR,1706995133
57,atafu village,-8.5421,-172.5159,29.28,74,100,8.75,TK,1706995133
58,luchegorsk,46.4764,134.2569,-29.19,100,87,1.54,RU,1706995134
59,puerto ayora,-0.7393,-90.3518,31.98,80,52,5.08,EC,1706995135
60,saipan,15.1355,145.701,26.39,65,40,9.77,MP,1706995136
61,egilsstadir,65.2653,-14.3948,-9.05,67,0,3.09,IS,1706995136
62,kampene,-3.6,26.6667,21.14,95,100,0.41,CD,1706995137
63,vinh long,10.25,105.9667,22.99,97,55,1.86,VN,1706995138
64,olinda,-8.0089,-34.8553,28.85,70,40,6.17,BR,1706995139
65,iqaluit,63.7506,-68.5145,-25.15,62,0,7.72,CA,1706995139
66,georgetown,5.4112,100.3354,27.96,83,40,1.54,MY,1706994910
67,mabopane,-25.4977,28.1007,19.21,36,24,3.02,ZA,1706995141
68,nemuro,43.3236,145.575,-4.96,72,12,6.47,JP,1706995142
69,woolgoolga,-30.1106,153.2007,25.93,82,75,3.48,AU,1706995142
70,uturoa,-16.7333,-151.4333,27.92,74,67,5.16,PF,1706995144
71,g'uzor,38.6214,66.2522,1.02,71,100,7.74,UZ,1706995145
72,taoudenni,22.6783,-3.9836,19.51,11,0,6.04,ML,1706995146
73,port saint john's,-31.6229,29.5448,23.15,85,97,4.16,ZA,1706995146
74,vilyuchinsk,52.9306,158.4028,-18.75,83,98,4.11,RU,1706995149
75,avarua,-21.2078,-159.775,28.03,78,20,4.12,CK,1706995149
76,margaret river,-33.95,115.0667,16.15,54,97,6.7,AU,1706995150
77,bredasdorp,-34.5322,20.0403,23.06,80,56,3.32,ZA,1706995151
78,rio claro,-22.4114,-47.5614,26.89,63,100,0.62,BR,1706995152
79,georgiyevka,43.0369,74.7114,-9.98,79,89,1.0,KZ,1706995152
80,petropavlovsk-kamchatsky,53.0452,158.6483,-19.57,85,75,4.0,RU,1706995022
81,rio grande,-32.035,-52.0986,29.06,68,76,6.06,BR,1706994996
82,langfang,39.5097,116.6947,-4.08,45,52,1.16,CN,1706995155
83,thompson,55.7435,-97.8558,-0.91,100,100,3.09,CA,1706995155
84,eydhafushi,5.1033,73.0708,28.14,76,98,5.1,MV,1706995156
85,markovo,57.3206,107.0881,-31.2,100,39,0.46,RU,1706995157
86,awjilah,29.1081,21.2869,13.08,36,2,2.59,LY,1706995158
87,remire-montjoly,4.9167,-52.2667,29.02,74,20,5.14,GF,1706995159
88,bubaque,11.2833,-15.8333,26.22,78,0,4.95,GW,1706995096
89,ilulissat,69.2167,-51.1,-20.99,49,45,3.6,GL,1706995160
90,vilyuysk,63.7553,121.6247,-27.78,98,96,2.24,RU,1706995161
91,margate,51.3813,1.3862,11.6,86,100,0.45,GB,1706994933
92,matthew town,20.95,-73.6667,24.52,63,15,1.51,BS,1706995163
93,callao,-12.0667,-77.15,28.16,61,20,5.66,PE,1706995164
94,guerrero negro,27.9769,-114.0611,17.55,54,0,7.24,MX,1706995165
95,piriapolis,-34.8682,-55.2744,33.09,40,40,3.09,UY,1706995166
